[1] (OSEN) [사진]공유-서현진, '믿고 보는 배우'
[2] (v.daum.net) 서현진, 카페서 '민폐 훈육'에 "히스테리 그만 좀"… 의견 분분
[3] (머니투데이) 서현진, 카페서 '민폐 훈육' 학부모에 일침…"30분째 소리 질러" - 머니투데이
[4] (뉴시스) 서현진, 스벅서 목격한 '민폐 훈육'에 쓴소리 "히스테리 그만해달라"
[5] (서울En) “스타벅스서 30분째 소리질러”… ‘43세 아들맘’ 서현진, ‘민폐 훈육’ 쓴소리
[6] (세계뉴스통신) "카페서 30분째 고성으로 수학 교육"…서현진, 공개 저격 "히스테리 그만 좀"
[7] (starnewskorea.com) 서현진, 카페서 목격한 충격 장면 "30분째 고함..히스테리 그만"
[8] (네이트) 서현진, 카페서 목격한 충격 장면 "30분째 고함…히스테리 그만"
[9] (머니투데이) "에릭·서현진만 없네"…'또 오해영' 10주년 파티 사진에 '갸우뚱' - 머니투데이
[10] (v.daum.net) 공유, 서현진 선물에 "절대 안 받아" 외쳤는데…송혜교는 "동바라기" 인증
[11] (한국연예스포츠신문) 배우 서현진, 26억 전세 사기 피해 소식 전해...대중들 충격
[12] (톱스타뉴스) “꽃과 커피트럭 환한 미소”…서현진, 따스한 감동→설렘의 촬영장
[13] (Chosunbiz) 공유X서현진, 깜짝 웨딩화보? "축복해주세요" - 조선비즈
[14] (v.daum.net) 서현진, 서울대병원 ♥의사 남편에 지극정성…"한땀한땀"
[15] (Chosunbiz) '아나운서 출신' 서현진, 53kg 유지어터 근황 "요즘도 16시간 단식 중" - 조선비즈
[16] (디스패치) [현장포토] "분위기 남달라"…서현진, 올블랙 패션
[17] (네이트) 서현진, 이 날씨에 패션 맙소사…"멋쟁이의 길은 멀고 험해"
[18] (패션비즈) 린, 새로운 뮤즈 배우 서현진과 함께한 ‘봄 화보’ 공개
[19] (헬스조선) 서현진, 임신으로 불어난 15kg ‘이 운동’으로 뺐다… 효과 어떻길래?
[20] (수원일보) 양세종, 서현진 '사랑의 온도' 러브콜…원작 소설 3년 만에 드라마로 리메이크
[21] (매일경제) 서현진, 줘도 안 받는다는 공유에 커피차 선물…송혜교도 인증
[22] (v.daum.net) 서현진, '26억 전세 사기' 피해에도…'4시간 수다 여행' [MD★스타]
[23] (cosmopolitan.co.kr) 차은우, 박은빈, 이종석, 서현진까지 출연 확정!
[24] (Chosunbiz) '미코 출신' 서현진 아나, 요가로 다져진 탄탄 수영복 자태…♥의사 남편 또 반하겠어 - 조선비즈
[25] (Chosunbiz) '의사♥' 서현진 아나, 홀터넥 요가복 입고 볼륨감 자랑…성난 등 근육까지 눈길 - 조선비즈
[26] (뉴스1) 서현진, 브라톱 입고 드러낸 탄탄 몸매…발리에서도 빛나는 미모 [N샷]
[27] (Chosunbiz) 미코 출신 서현진 아나, 브라톱만 입고 길거리 외출…요가로 다져진 슬림 몸매 - 조선비즈
[28] (v.daum.net) 서현진이 뜰 줄이야…김남주♥김강우 인터뷰하는 아나운서로 특별출연 ('원더풀 월드')
[29] (패션엔) 서현진, 가을 클래식의 완성! 하이슬릿의 멋과 화이트 셔츠 세련된 가을 포멀룩
[30] (패션엔) [패션엔 포토] 서현진, 우아한 드레이핑! 청룡어워즈 빛낸 원숄더 블랙 레드카펫 드레스룩
[31] (패션엔) [패션엔 포토] 서현진, 더 예뻐진 비주얼! 구조적인 블랙 스커트 슈트 청담동 나들이
[32] (v.daum.net) 서현진, 더 예뻐진 비주얼! 구조적인 블랙 스커트 슈트 청담동 나들이
